 FASTA header,location, IDR start, IDR end
tr|Q9SU17|Q9SU17_ARATH At4g12690 OS=Arabidopsis thaliana OX=3702 GN=At4g12690 PE=2 SV=1,C-terminal,250,285
tr|Q9SVL9|Q9SVL9_ARATH Esterase/lipase/thioesterase family protein OS=Arabidopsis thaliana OX=3702 GN=F18B3.70 PE=1 SV=1,N-terminal,1,48
tr|Q9SW65|Q9SW65_ARATH Photosystem II manganese-stabilising protein (PsbO) family OS=Arabidopsis thaliana OX=3702 GN=C7A10.130 PE=3 SV=1,IDP,1,143
sp|Q9ZUI6|AP1G2_ARATH AP-1 complex subunit gamma-2 OS=Arabidopsis thaliana OX=3702 GN=At1g60070 PE=1 SV=2,middle,593,748
tr|A0A1I9LQ65|A0A1I9LQ65_ARATH Vacuolar protein sorting-associated protein; putative (DUF1162) OS=Arabidopsis thaliana OX=3702 GN=At3g50380 PE=1 SV=1,N-terminal,1,824
tr|A0A1I9LQ65|A0A1I9LQ65_ARATH Vacuolar protein sorting-associated protein; putative (DUF1162) OS=Arabidopsis thaliana OX=3702 GN=At3g50380 PE=1 SV=1,middle,909,969
tr|A0A1I9LQ65|A0A1I9LQ65_ARATH Vacuolar protein sorting-associated protein; putative (DUF1162) OS=Arabidopsis thaliana OX=3702 GN=At3g50380 PE=1 SV=1,middle,1055,1100
tr|A0A1I9LQ65|A0A1I9LQ65_ARATH Vacuolar protein sorting-associated protein; putative (DUF1162) OS=Arabidopsis thaliana OX=3702 GN=At3g50380 PE=1 SV=1,middle,1279,1428
tr|A0A1I9LQ65|A0A1I9LQ65_ARATH Vacuolar protein sorting-associated protein; putative (DUF1162) OS=Arabidopsis thaliana OX=3702 GN=At3g50380 PE=1 SV=1,middle,2996,3075
tr|A0A1I9LTT2|A0A1I9LTT2_ARATH Glycine-rich protein OS=Arabidopsis thaliana OX=3702 GN=At3g63093 PE=4 SV=1,C-terminal,52,179
tr|A0A1P8B275|A0A1P8B275_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g07631 PE=4 SV=1,IDP,1,51
tr|B3H6U7|B3H6U7_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g13422 PE=4 SV=1,IDP,1,34
sp|F4HXW9|OFUT4_ARATH O-fucosyltransferase 4 OS=Arabidopsis thaliana OX=3702 GN=OFUT4 PE=3 SV=1,N-terminal,1,58
sp|F4I532|PRFB2_ARATH Peptide chain release factor PrfB2; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PRFB2 PE=3 SV=1,N-terminal,1,87
sp|F4ISL7|TI236_ARATH Protein TIC236; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIC236 PE=1 SV=1,N-terminal,1,92
sp|F4ISL7|TI236_ARATH Protein TIC236; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIC236 PE=1 SV=1,middle,235,595
sp|F4ISL7|TI236_ARATH Protein TIC236; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TIC236 PE=1 SV=1,middle,1604,1651
tr|F4JL03|F4JL03_ARATH KIB1-4 beta-propeller domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=DL4085W PE=4 SV=1,N-terminal,1,33
tr|F4K310|F4K310_ARATH Glycine-rich protein OS=Arabidopsis thaliana OX=3702 GN=At5g42635 PE=4 SV=1,IDP,1,118
sp|F4K933|ET2_ARATH Protein EFFECTOR OF TRANSCRIPTION 2 OS=Arabidopsis thaliana OX=3702 GN=ET2 PE=1 SV=1,C-terminal,311,483
tr|F4KHQ2|F4KHQ2_ARATH Calcium-transporting ATPase OS=Arabidopsis thaliana OX=3702 GN=MNB8.7 PE=4 SV=1,N-terminal,1,143
sp|O23034|UBA5_ARATH Ubiquitin-like modifier-activating enzyme 5 OS=Arabidopsis thaliana OX=3702 GN=At1g05350 PE=3 SV=2,C-terminal,337,431
tr|O23126|O23126_ARATH At1g22970/F19G10_8 OS=Arabidopsis thaliana OX=3702 GN=At1g22970 PE=1 SV=1,middle,187,219
sp|O49423|POT9_ARATH Potassium transporter 9 OS=Arabidopsis thaliana OX=3702 GN=POT9 PE=2 SV=2,middle,656,739
sp|O64883|BGL26_ARATH Beta-glucosidase 26; peroxisomal OS=Arabidopsis thaliana OX=3702 GN=BGLU26 PE=1 SV=1,C-terminal,497,560
sp|O80575|RISB_ARATH 6;7-dimethyl-8-ribityllumazine synthase; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At2g44050 PE=1 SV=1,N-terminal,1,55
sp|O80725|AB4B_ARATH ABC transporter B family member 4 OS=Arabidopsis thaliana OX=3702 GN=ABCB4 PE=1 SV=1,N-terminal,1,44
sp|O80725|AB4B_ARATH ABC transporter B family member 4 OS=Arabidopsis thaliana OX=3702 GN=ABCB4 PE=1 SV=1,middle,623,704
sp|O80910|TOL6_ARATH TOM1-like protein 6 OS=Arabidopsis thaliana OX=3702 GN=TOL6 PE=1 SV=1,middle,143,231
sp|O80910|TOL6_ARATH TOM1-like protein 6 OS=Arabidopsis thaliana OX=3702 GN=TOL6 PE=1 SV=1,C-terminal,314,671
sp|O81316|SCL6_ARATH Scarecrow-like protein 6 OS=Arabidopsis thaliana OX=3702 GN=SCL6 PE=1 SV=1,N-terminal,1,202
sp|P0CAP4|REM12_ARATH B3 domain-containing protein REM12 OS=Arabidopsis thaliana OX=3702 GN=REM12 PE=2 SV=1,N-terminal,1,62
sp|P0CAP4|REM12_ARATH B3 domain-containing protein REM12 OS=Arabidopsis thaliana OX=3702 GN=REM12 PE=2 SV=1,middle,283,338
tr|Q0WQ09|Q0WQ09_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At4g24026 PE=2 SV=1,IDP,1,78
tr|Q0WQA4|Q0WQA4_ARATH HAT dimerization domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At3g17450 PE=1 SV=1,middle,72,148
tr|Q0WQA4|Q0WQA4_ARATH HAT dimerization domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At3g17450 PE=1 SV=1,middle,185,313
tr|Q0WQA4|Q0WQA4_ARATH HAT dimerization domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At3g17450 PE=1 SV=1,C-terminal,802,877
tr|Q3E6W9|Q3E6W9_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g11015 PE=4 SV=1,N-terminal,1,48
tr|Q570L6|Q570L6_ARATH At2g36295 OS=Arabidopsis thaliana OX=3702 GN=At2g36295 PE=2 SV=1,N-terminal,1,55
sp|Q66GR0|FLA17_ARATH Fasciclin-like arabinogalactan protein 17 OS=Arabidopsis thaliana OX=3702 GN=FLA17 PE=2 SV=1,N-terminal,1,43
sp|Q66GR0|FLA17_ARATH Fasciclin-like arabinogalactan protein 17 OS=Arabidopsis thaliana OX=3702 GN=FLA17 PE=2 SV=1,middle,198,264
tr|Q67YN2|Q67YN2_ARATH GTPase activator protein of Rab-like small GTPases-like protein OS=Arabidopsis thaliana OX=3702 GN=MJC20.4 PE=1 SV=1,N-terminal,1,287
tr|Q6NMK2|Q6NMK2_ARATH At5g49400 OS=Arabidopsis thaliana OX=3702 GN=At5g49400 PE=1 SV=1,IDP,1,275
tr|Q6NQC3|Q6NQC3_ARATH At3g48120 OS=Arabidopsis thaliana OX=3702 GN=At3g48120 PE=1 SV=1,IDP,1,328
sp|Q8GXE9|HA22J_ARATH HVA22-like protein j OS=Arabidopsis thaliana OX=3702 GN=HVA22J PE=2 SV=2,C-terminal,153,258
sp|Q8GXR9|NDC1_ARATH Alternative NAD(P)H-ubiquinone oxidoreductase C1; chloroplastic/mitochondrial OS=Arabidopsis thaliana OX=3702 GN=NDC1 PE=1 SV=2,N-terminal,1,73
sp|Q8GXT7|P4H12_ARATH Probable prolyl 4-hydroxylase 12 OS=Arabidopsis thaliana OX=3702 GN=P4H12 PE=2 SV=1,N-terminal,1,37
sp|Q8S2T1|DDPS6_ARATH Dehydrodolichyl diphosphate synthase 6 OS=Arabidopsis thaliana OX=3702 GN=At2g17570 PE=2 SV=2,middle,189,252
tr|Q93Z34|Q93Z34_ARATH Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g24280 PE=1 SV=1,N-terminal,1,41
sp|Q9C518|TCP8_ARATH Transcription factor TCP8 OS=Arabidopsis thaliana OX=3702 GN=TCP8 PE=1 SV=1,N-terminal,1,73
sp|Q9C518|TCP8_ARATH Transcription factor TCP8 OS=Arabidopsis thaliana OX=3702 GN=TCP8 PE=1 SV=1,C-terminal,113,401
tr|Q9C636|Q9C636_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=CC1 PE=1 SV=1,N-terminal,1,124
tr|Q9C636|Q9C636_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=CC1 PE=1 SV=1,middle,254,288
sp|Q9C778|ELP4_ARATH Elongator complex protein 4 OS=Arabidopsis thaliana OX=3702 GN=ELP4 PE=1 SV=1,N-terminal,1,42
tr|Q9FGI2|Q9FGI2_ARATH At5g37550 OS=Arabidopsis thaliana OX=3702 GN=MPA22.10 PE=2 SV=1,N-terminal,1,51
tr|Q9FGI2|Q9FGI2_ARATH At5g37550 OS=Arabidopsis thaliana OX=3702 GN=MPA22.10 PE=2 SV=1,C-terminal,186,230
tr|Q9FM18|Q9FM18_ARATH At5g62750 OS=Arabidopsis thaliana OX=3702 GN=MQB2.7 PE=1 SV=1,IDP,1,124
tr|Q9FN12|Q9FN12_ARATH Transcriptional regulator of RNA polII; SAGA; subunit OS=Arabidopsis thaliana OX=3702 GN=At5g67410 PE=4 SV=1,middle,90,209
sp|Q9FN19|HOS15_ARATH WD40 repeat-containing protein HOS15 OS=Arabidopsis thaliana OX=3702 GN=HOS15 PE=2 SV=1,middle,99,251
tr|Q9FYD1|Q9FYD1_ARATH Zinc knuckle (CCHC-type) family protein OS=Arabidopsis thaliana OX=3702 GN=F22J12_30 PE=1 SV=1,N-terminal,1,146
tr|Q9FYD1|Q9FYD1_ARATH Zinc knuckle (CCHC-type) family protein OS=Arabidopsis thaliana OX=3702 GN=F22J12_30 PE=1 SV=1,C-terminal,369,551
sp|Q9LIQ6|ING1_ARATH PHD finger protein ING1 OS=Arabidopsis thaliana OX=3702 GN=ING1 PE=1 SV=1,middle,126,172
tr|Q9LJ43|Q9LJ43_ARATH DUF3741 domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=TRM34 PE=4 SV=1,N-terminal,1,602
sp|Q9LNC9|MYB13_ARATH Transcription factor MYB13 OS=Arabidopsis thaliana OX=3702 GN=MYB13 PE=1 SV=1,C-terminal,118,246
tr|Q9LRU5|Q9LRU5_ARATH MYB transcription factor OS=Arabidopsis thaliana OX=3702 GN=MYB121 PE=2 SV=1,C-terminal,128,276
sp|Q9LRW6|FB142_ARATH F-box protein At3g13820 OS=Arabidopsis thaliana OX=3702 GN=At3g13820 PE=2 SV=1,C-terminal,382,415
sp|Q9LS23|ALMTD_ARATH Aluminum-activated malate transporter 13 OS=Arabidopsis thaliana OX=3702 GN=ALMT13 PE=2 SV=1,N-terminal,1,34
sp|Q9LS23|ALMTD_ARATH Aluminum-activated malate transporter 13 OS=Arabidopsis thaliana OX=3702 GN=ALMT13 PE=2 SV=1,middle,385,466
sp|Q9LXD7|MYST2_ARATH Histone acetyltransferase of the MYST family 2 OS=Arabidopsis thaliana OX=3702 GN=HAM2 PE=1 SV=1,N-terminal,1,50
tr|Q9LZ89|Q9LZ89_ARATH DC1 domain-containing protein OS=Arabidopsis thaliana OX=3702 GN=At5g02360 PE=4 SV=1,N-terminal,1,133
tr|Q9M844|Q9M844_ARATH NAC domain containing protein 49 OS=Arabidopsis thaliana OX=3702 GN=NAC049 PE=4 SV=1,C-terminal,108,198
sp|Q9S7U5|HSFA8_ARATH Heat stress transcription factor A-8 OS=Arabidopsis thaliana OX=3702 GN=HSFA8 PE=2 SV=1,N-terminal,1,39
sp|Q9S7U5|HSFA8_ARATH Heat stress transcription factor A-8 OS=Arabidopsis thaliana OX=3702 GN=HSFA8 PE=2 SV=1,C-terminal,208,374
sp|Q9SAA2|CLPP6_ARATH ATP-dependent Clp protease proteolytic subunit 6; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CLPP6 PE=1 SV=1,N-terminal,1,82
sp|Q9SEU4|SRC33_ARATH Serine/arginine-rich SC35-like splicing factor SCL33 OS=Arabidopsis thaliana OX=3702 GN=SCL33 PE=1 SV=1,N-terminal,1,35
sp|Q9SEU4|SRC33_ARATH Serine/arginine-rich SC35-like splicing factor SCL33 OS=Arabidopsis thaliana OX=3702 GN=SCL33 PE=1 SV=1,C-terminal,117,287
sp|Q9SFW6|CCB24_ARATH Cyclin-B2-4 OS=Arabidopsis thaliana OX=3702 GN=CYCB2-4 PE=2 SV=2,N-terminal,1,165
sp|Q9SK28|FH18_ARATH Formin-like protein 18 OS=Arabidopsis thaliana OX=3702 GN=FH18 PE=2 SV=3,middle,343,809
sp|Q9SYI3|AB5B_ARATH ABC transporter B family member 5 OS=Arabidopsis thaliana OX=3702 GN=ABCB5 PE=3 SV=1,middle,598,634
sp|Q9ZPX5|SDHA2_ARATH Succinate dehydrogenase [ubiquinone] flavoprotein subunit 2; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=SDH1-2 PE=1 SV=1,N-terminal,1,35
sp|Q9ZQF1|PP152_ARATH Pentatricopeptide repeat-containing protein At2g15630; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g15630 PE=3 SV=1,N-terminal,1,42
sp|Q9ZQZ6|R7SL2_ARATH Ubiquitin domain-containing protein 7SL RNA2 OS=Arabidopsis thaliana OX=3702 GN=7SL2 PE=1 SV=1,middle,72,183
tr|Q9ZR13|Q9ZR13_ARATH At4g03180 OS=Arabidopsis thaliana OX=3702 GN=At4g03180 PE=1 SV=1,IDP,1,185
tr|Q9ZW00|Q9ZW00_ARATH Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein OS=Arabidopsis thaliana OX=3702 GN=At1g05380 PE=1 SV=1,N-terminal,1,317
tr|Q9ZW00|Q9ZW00_ARATH Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein OS=Arabidopsis thaliana OX=3702 GN=At1g05380 PE=1 SV=1,middle,376,511
tr|Q9ZW00|Q9ZW00_ARATH Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein OS=Arabidopsis thaliana OX=3702 GN=At1g05380 PE=1 SV=1,C-terminal,922,1138
tr|A0A1P8AP59|A0A1P8AP59_ARATH Membrane fusion protein Use1 OS=Arabidopsis thaliana OX=3702 GN=At1g54110 PE=1 SV=1,middle,85,140
tr|A0A1P8B4J1|A0A1P8B4J1_ARATH Ankyrin repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At4g03500 PE=4 SV=1,N-terminal,1,57
sp|A3KPF8|PP131_ARATH Pentatricopeptide repeat-containing protein At1g79080; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=At1g79080 PE=2 SV=1,N-terminal,1,104
sp|B5X0I6|VIP6_ARATH Protein CTR9 homolog OS=Arabidopsis thaliana OX=3702 GN=VIP6 PE=1 SV=1,C-terminal,891,1091
sp|F4HRS2|SWTIE_ARATH Protein SWEETIE OS=Arabidopsis thaliana OX=3702 GN=SWEETIE PE=1 SV=2,middle,1122,1169
sp|F4HRS2|SWTIE_ARATH Protein SWEETIE OS=Arabidopsis thaliana OX=3702 GN=SWEETIE PE=1 SV=2,C-terminal,1952,2222
tr|F4I6P0|F4I6P0_ARATH MuDR family transposase OS=Arabidopsis thaliana OX=3702 GN=At1g64255 PE=1 SV=1,middle,113,185
tr|F4I6P0|F4I6P0_ARATH MuDR family transposase OS=Arabidopsis thaliana OX=3702 GN=At1g64255 PE=1 SV=1,C-terminal,707,750
sp|F4IE66|PRP22_ARATH Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10 OS=Arabidopsis thaliana OX=3702 GN=RID1 PE=1 SV=1,N-terminal,1,35
sp|F4IE66|PRP22_ARATH Pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH10 OS=Arabidopsis thaliana OX=3702 GN=RID1 PE=1 SV=1,middle,187,223
sp|F4IIS6|PCA22_ARATH Protein PROLINE CONTENT ALTERNATIVE 22 OS=Arabidopsis thaliana OX=3702 GN=PCA22 PE=2 SV=1,IDP,1,98
tr|F4ILW4|F4ILW4_ARATH ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g41830 PE=1 SV=1,N-terminal,1,35
tr|F4ILW4|F4ILW4_ARATH ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g41830 PE=1 SV=1,middle,523,592
tr|F4ILW4|F4ILW4_ARATH ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g41830 PE=1 SV=1,middle,838,875
tr|F4ILW4|F4ILW4_ARATH ARM repeat superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At2g41830 PE=1 SV=1,C-terminal,935,1025
tr|F4IVU7|F4IVU7_ARATH RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At2g33435 PE=1 SV=2,N-terminal,1,876
tr|F4IVU7|F4IVU7_ARATH RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At2g33435 PE=1 SV=2,middle,953,990
tr|F4IVU7|F4IVU7_ARATH RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=At2g33435 PE=1 SV=2,middle,1143,1274
tr|F4JLL3|F4JLL3_ARATH Transmembrane protein; putative (DUF239) OS=Arabidopsis thaliana OX=3702 GN=At4g10210 PE=4 SV=1,N-terminal,1,39
tr|F4JNF8|F4JNF8_ARATH Structural maintenance of chromosomes protein OS=Arabidopsis thaliana OX=3702 GN=DL4655C PE=1 SV=1,N-terminal,1,109
tr|F4JNF8|F4JNF8_ARATH Structural maintenance of chromosomes protein OS=Arabidopsis thaliana OX=3702 GN=DL4655C PE=1 SV=1,C-terminal,241,343
tr|F4JUP6|F4JUP6_ARATH Alpha/beta-Hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=DL3185C PE=1 SV=1,C-terminal,298,558
tr|F4KAD6|F4KAD6_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=MFB16.4 PE=4 SV=1,C-terminal,103,138
sp|O22757|MLO8_ARATH MLO-like protein 8 OS=Arabidopsis thaliana OX=3702 GN=MLO8 PE=1 SV=2,middle,121,164
sp|O22757|MLO8_ARATH MLO-like protein 8 OS=Arabidopsis thaliana OX=3702 GN=MLO8 PE=1 SV=2,C-terminal,478,593
tr|O80553|O80553_ARATH T22J18.15 OS=Arabidopsis thaliana OX=3702 GN=At1g22680 PE=2 SV=1,IDP,1,185
tr|O80798|O80798_ARATH ER membrane protein complex subunit 10 OS=Arabidopsis thaliana OX=3702 GN=At1g65270 PE=1 SV=1,N-terminal,1,68
tr|O82354|O82354_ARATH Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family OS=Arabidopsis thaliana OX=3702 GN=At2g46150 PE=1 SV=1,N-terminal,1,36
sp|P0DI05|FBK13_ARATH F-box/kelch-repeat protein At1g25150 OS=Arabidopsis thaliana OX=3702 GN=At1g25150 PE=4 SV=1,N-terminal,1,32
sp|P0DI05|FBK13_ARATH F-box/kelch-repeat protein At1g25150 OS=Arabidopsis thaliana OX=3702 GN=At1g25150 PE=4 SV=1,C-terminal,394,433
sp|Q1G3U5|LAZY3_ARATH Protein LAZY 3 OS=Arabidopsis thaliana OX=3702 GN=LAZY3 PE=2 SV=1,N-terminal,1,105
sp|Q2V3L3|YY1_ARATH Zinc finger transcription factor YY1 OS=Arabidopsis thaliana OX=3702 GN=YY1 PE=1 SV=1,N-terminal,1,73
sp|Q2V3L3|YY1_ARATH Zinc finger transcription factor YY1 OS=Arabidopsis thaliana OX=3702 GN=YY1 PE=1 SV=1,C-terminal,254,387
sp|Q39070|CCB22_ARATH Cyclin-B2-2 OS=Arabidopsis thaliana OX=3702 GN=CYCB2-2 PE=1 SV=2,N-terminal,1,161
tr|Q3E8P4|Q3E8P4_ARATH MADS-box family protein OS=Arabidopsis thaliana OX=3702 GN=At5g35120 PE=4 SV=1,C-terminal,77,107
tr|Q56FQ1|Q56FQ1_ARATH Activator of spomin LUC3 OS=Arabidopsis thaliana OX=3702 GN=ASML3 PE=2 SV=1,N-terminal,1,39
tr|Q6DBE8|Q6DBE8_ARATH At1g53100 OS=Arabidopsis thaliana OX=3702 GN=At1g53100 PE=1 SV=1,N-terminal,1,76
sp|Q6NMF0|CLE13_ARATH CLAVATA3/ESR (CLE)-related protein 13 OS=Arabidopsis thaliana OX=3702 GN=CLE13 PE=2 SV=1,IDP,1,107
sp|Q6X7K0|WOX1_ARATH WUSCHEL-related homeobox 1 OS=Arabidopsis thaliana OX=3702 GN=WOX1 PE=2 SV=2,N-terminal,1,40
sp|Q6X7K0|WOX1_ARATH WUSCHEL-related homeobox 1 OS=Arabidopsis thaliana OX=3702 GN=WOX1 PE=2 SV=2,C-terminal,138,350
tr|Q84JL6|Q84JL6_ARATH Filamentous hemagglutinin transporter OS=Arabidopsis thaliana OX=3702 GN=YUP8H12R.23 PE=1 SV=1,N-terminal,1,180
sp|Q84JN2|TIN1_ARATH Protein TUNICAMYCIN INDUCED 1 OS=Arabidopsis thaliana OX=3702 GN=TIN1 PE=1 SV=1,N-terminal,1,31
tr|Q84K38|Q84K38_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=MNF13.19 PE=1 SV=1,middle,304,347
tr|Q84K38|Q84K38_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=MNF13.19 PE=1 SV=1,C-terminal,532,586
sp|Q84TE6|NAC22_ARATH NAC domain-containing protein 21/22 OS=Arabidopsis thaliana OX=3702 GN=NAC021 PE=1 SV=2,C-terminal,182,324
sp|Q84WZ8|RM16L_ARATH Putative ribosomal protein uL16-like; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g28815 PE=5 SV=2,N-terminal,1,70
sp|Q84WZ8|RM16L_ARATH Putative ribosomal protein uL16-like; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g28815 PE=5 SV=2,middle,125,169
tr|Q8GW63|Q8GW63_ARATH At1g64600 OS=Arabidopsis thaliana OX=3702 GN=At1g64600 PE=1 SV=1,C-terminal,396,537
tr|Q8H0U2|Q8H0U2_ARATH Plasma membrane fusion protein OS=Arabidopsis thaliana OX=3702 GN=At2g12400 PE=1 SV=1,N-terminal,1,48
tr|Q8L4R9|Q8L4R9_ARATH BAT2 domain protein OS=Arabidopsis thaliana OX=3702 GN=At2g15860 PE=1 SV=1,N-terminal,1,119
tr|Q8L4R9|Q8L4R9_ARATH BAT2 domain protein OS=Arabidopsis thaliana OX=3702 GN=At2g15860 PE=1 SV=1,middle,301,331
tr|Q8LCT2|Q8LCT2_ARATH At3g55605 OS=Arabidopsis thaliana OX=3702 GN=At3g55605 PE=1 SV=1,N-terminal,1,154
sp|Q8RWL2|CDPKT_ARATH Calcium-dependent protein kinase 29 OS=Arabidopsis thaliana OX=3702 GN=CPK29 PE=2 SV=2,N-terminal,1,75
sp|Q8S9G8|SPL7_ARATH Squamosa promoter-binding-like protein 7 OS=Arabidopsis thaliana OX=3702 GN=SPL7 PE=1 SV=2,N-terminal,1,96
sp|Q8S9G8|SPL7_ARATH Squamosa promoter-binding-like protein 7 OS=Arabidopsis thaliana OX=3702 GN=SPL7 PE=1 SV=2,middle,198,322
sp|Q8S9G8|SPL7_ARATH Squamosa promoter-binding-like protein 7 OS=Arabidopsis thaliana OX=3702 GN=SPL7 PE=1 SV=2,middle,665,755
sp|Q8VY21|TLP3_ARATH Tubby-like F-box protein 3 OS=Arabidopsis thaliana OX=3702 GN=TULP3 PE=1 SV=1,N-terminal,1,45
sp|Q8VY21|TLP3_ARATH Tubby-like F-box protein 3 OS=Arabidopsis thaliana OX=3702 GN=TULP3 PE=1 SV=1,middle,202,317
tr|Q8VZG4|Q8VZG4_ARATH At1g21590/F24J8_9 OS=Arabidopsis thaliana OX=3702 GN=At1g21590 PE=1 SV=1,middle,160,258
tr|Q8VZG4|Q8VZG4_ARATH At1g21590/F24J8_9 OS=Arabidopsis thaliana OX=3702 GN=At1g21590 PE=1 SV=1,middle,321,360
tr|Q8VZG4|Q8VZG4_ARATH At1g21590/F24J8_9 OS=Arabidopsis thaliana OX=3702 GN=At1g21590 PE=1 SV=1,C-terminal,705,756
tr|Q93ZT2|Q93ZT2_ARATH DnaJ/Hsp40 cysteine-rich domain superfamily protein OS=Arabidopsis thaliana OX=3702 GN=MVA3.190 PE=1 SV=1,N-terminal,1,83
tr|Q94C15|Q94C15_ARATH At1g69680/T6C23_12 OS=Arabidopsis thaliana OX=3702 GN=At1g69680 PE=1 SV=1,C-terminal,163,202
tr|Q9C8T4|Q9C8T4_ARATH Myosin heavy chain-related protein OS=Arabidopsis thaliana OX=3702 GN=At1g63300 PE=1 SV=1,middle,136,292
tr|Q9C8T4|Q9C8T4_ARATH Myosin heavy chain-related protein OS=Arabidopsis thaliana OX=3702 GN=At1g63300 PE=1 SV=1,middle,340,374
tr|Q9C8T4|Q9C8T4_ARATH Myosin heavy chain-related protein OS=Arabidopsis thaliana OX=3702 GN=At1g63300 PE=1 SV=1,middle,874,905
sp|Q9C9C4|ENO1_ARATH Enolase 1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=ENO1 PE=1 SV=1,N-terminal,1,53
sp|Q9FID8|Y5900_ARATH Putative receptor-like protein kinase At5g39000 OS=Arabidopsis thaliana OX=3702 GN=At5g39000 PE=3 SV=1,middle,416,500
sp|Q9FID8|Y5900_ARATH Putative receptor-like protein kinase At5g39000 OS=Arabidopsis thaliana OX=3702 GN=At5g39000 PE=3 SV=1,C-terminal,805,873
tr|Q9FLH2|Q9FLH2_ARATH 2-oxoglutarate dehydrogenase; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MPA24.10 PE=1 SV=1,N-terminal,1,61
tr|Q9FMC4|Q9FMC4_ARATH Splicing factor 3A subunit OS=Arabidopsis thaliana OX=3702 GN=MUK11.18 PE=1 SV=1,N-terminal,1,67
tr|Q9FMC4|Q9FMC4_ARATH Splicing factor 3A subunit OS=Arabidopsis thaliana OX=3702 GN=MUK11.18 PE=1 SV=1,middle,196,419
tr|Q9FMC4|Q9FMC4_ARATH Splicing factor 3A subunit OS=Arabidopsis thaliana OX=3702 GN=MUK11.18 PE=1 SV=1,middle,644,683
sp|Q9FRL5|ZHD5_ARATH Zinc-finger homeodomain protein 5 OS=Arabidopsis thaliana OX=3702 GN=ZHD5 PE=1 SV=1,N-terminal,1,73
sp|Q9FRL5|ZHD5_ARATH Zinc-finger homeodomain protein 5 OS=Arabidopsis thaliana OX=3702 GN=ZHD5 PE=1 SV=1,middle,129,244
sp|Q9FX56|SOT8_ARATH Cytosolic sulfotransferase 8 OS=Arabidopsis thaliana OX=3702 GN=SOT8 PE=2 SV=1,N-terminal,1,35
tr|Q9LDP7|Q9LDP7_ARATH Uncharacterized protein AT4g19270 OS=Arabidopsis thaliana OX=3702 GN=At4g19270 PE=4 SV=1,IDP,1,141
tr|Q9LJJ9|Q9LJJ9_ARATH BCS1 AAA-type ATPase OS=Arabidopsis thaliana OX=3702 GN=At3g28560 PE=2 SV=1,N-terminal,1,136
tr|Q9LJJ9|Q9LJJ9_ARATH BCS1 AAA-type ATPase OS=Arabidopsis thaliana OX=3702 GN=At3g28560 PE=2 SV=1,C-terminal,218,257
