IDR ID, asphericity, scaling_exponent,Normalized Rg (A),Normalized Re (A)
tr|Q9CAS2|Q9CAS2_ARATH Actin cross-linking protein (DUF569) OS=Arabidopsis thaliana OX=3702 GN=At1g69890 PE=1 SV=1_1_39,0.417,0.553,0.011912278486340869,0.019439252336448595
tr|Q9CAS2|Q9CAS2_ARATH Actin cross-linking protein (DUF569) OS=Arabidopsis thaliana OX=3702 GN=At1g69890 PE=1 SV=1_150_204,0.432,0.534,0.03935682114745128,0.04887358583374324
tr|Q9FF95|Q9FF95_ARATH At5g23850 OS=Arabidopsis thaliana OX=3702 GN=MRO11.11 PE=1 SV=1_1_129,0.438,0.56,0.09534032074756914,0.10870634530250861
sp|Q9FIE3|VIN3_ARATH Protein VERNALIZATION INSENSITIVE 3 OS=Arabidopsis thaliana OX=3702 GN=VIN3 PE=1 SV=2_1_39,0.437,0.547,0.015321799890558568,0.023413674372848012
sp|Q9FIE3|VIN3_ARATH Protein VERNALIZATION INSENSITIVE 3 OS=Arabidopsis thaliana OX=3702 GN=VIN3 PE=1 SV=2_295_535,0.42,0.561,0.1518710274866355,0.1752090506640433
sp|Q9FII7|SMC6B_ARATH Structural maintenance of chromosomes protein 6B OS=Arabidopsis thaliana OX=3702 GN=SMC6B PE=2 SV=1_793_852,0.43,0.554,0.03880961400850276,0.04924741760944418
sp|Q9FIP9|MYC3_ARATH Transcription factor MYC3 OS=Arabidopsis thaliana OX=3702 GN=MYC3 PE=1 SV=1_1_48,0.413,0.532,0.02727617123374163,0.04346286276438761
sp|Q9FIP9|MYC3_ARATH Transcription factor MYC3 OS=Arabidopsis thaliana OX=3702 GN=MYC3 PE=1 SV=1_100_142,0.438,0.563,0.018099928442143365,0.028057058534185934
sp|Q9FIP9|MYC3_ARATH Transcription factor MYC3 OS=Arabidopsis thaliana OX=3702 GN=MYC3 PE=1 SV=1_237_422,0.4,0.54,0.11975417771604158,0.13564190850959176
sp|Q9FIP9|MYC3_ARATH Transcription factor MYC3 OS=Arabidopsis thaliana OX=3702 GN=MYC3 PE=1 SV=1_472_511,0.449,0.565,0.01549017131792734,0.025302508607968524
sp|Q9FJB8|GRF7_ARATH Growth-regulating factor 7 OS=Arabidopsis thaliana OX=3702 GN=GRF7 PE=2 SV=1_1_365,0.395,0.52,0.19009134149934756,0.2109985243482538
sp|Q9FLH5|AGL72_ARATH MADS-box protein AGL72 OS=Arabidopsis thaliana OX=3702 GN=AGL72 PE=2 SV=1_180_211,0.443,0.548,0.009428799932651423,0.018632562715199218
tr|Q9FMS0|Q9FMS0_ARATH AT5g22320/MWD9_11 OS=Arabidopsis thaliana OX=3702 GN=MWD9.11 PE=1 SV=1_245_452,0.416,0.556,0.13116134192027612,0.1500836202656173
sp|Q9FX99|Y1497_ARATH Probable receptor-like protein kinase At1g49730 OS=Arabidopsis thaliana OX=3702 GN=At1g49730 PE=2 SV=1_210_313,0.428,0.563,0.07858736372437596,0.09477619281849484
sp|Q9FX99|Y1497_ARATH Probable receptor-like protein kinase At1g49730 OS=Arabidopsis thaliana OX=3702 GN=At1g49730 PE=2 SV=1_623_663,0.421,0.537,0.016500399882140002,0.027919331037875063
tr|Q9LFF4|Q9LFF4_ARATH Uncharacterized protein At3g53670; F4P12.370 OS=Arabidopsis thaliana OX=3702 GN=F4P12_370 PE=1 SV=1_1_203,0.406,0.541,0.13368691333080776,0.15096901131333007
sp|Q9LHE9|MYO1_ARATH Myosin-1 OS=Arabidopsis thaliana OX=3702 GN=VIII-1 PE=1 SV=1_1_101,0.397,0.542,0.0673485709475102,0.08267584849975408
sp|Q9LHE9|MYO1_ARATH Myosin-1 OS=Arabidopsis thaliana OX=3702 GN=VIII-1 PE=1 SV=1_1014_1074,0.419,0.548,0.0350212568927053,0.04631578947368421
sp|Q9LHE9|MYO1_ARATH Myosin-1 OS=Arabidopsis thaliana OX=3702 GN=VIII-1 PE=1 SV=1_1136_1166,0.433,0.541,0.0041250999705349945,0.011549434333497297
sp|Q9LM92|SMD3B_ARATH Small nuclear ribonucleoprotein SmD3b OS=Arabidopsis thaliana OX=3702 GN=SMD3B PE=2 SV=1_93_131,0.45,0.594,0.018983878435829438,0.035238563698967044
sp|Q9LS54|VQ20_ARATH VQ motif-containing protein 20 OS=Arabidopsis thaliana OX=3702 GN=VQ20 PE=2 SV=1_1_285,0.374,0.49,0.1526707917666372,0.15822921790457453
sp|Q9LTS7|C3H65_ARATH Zinc finger CCCH domain-containing protein 65 OS=Arabidopsis thaliana OX=3702 GN=EMB1789 PE=2 SV=1_1_323,0.441,0.569,0.2048659342509576,0.21839645843580918
sp|Q9LTS7|C3H65_ARATH Zinc finger CCCH domain-containing protein 65 OS=Arabidopsis thaliana OX=3702 GN=EMB1789 PE=2 SV=1_426_675,0.432,0.565,0.1691711916487772,0.1929758976881456
sp|Q9LU08|SOP10_ARATH Serine rich endogenous peptide 10 OS=Arabidopsis thaliana OX=3702 GN=PROSCOOP10 PE=1 SV=1_1_98,0.412,0.534,0.06494927810750514,0.07946876537137236
tr|Q9LX79|Q9LX79_ARATH Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=F12M12_130 PE=4 SV=1_1_56,0.431,0.562,0.03300079976428,0.043856369896704384
tr|Q9LX79|Q9LX79_ARATH Protein kinase superfamily protein OS=Arabidopsis thaliana OX=3702 GN=F12M12_130 PE=4 SV=1_342_393,0.499,0.63,0.04693353537904618,0.06622725036891293
sp|Q9M0M2|AB9B_ARATH ABC transporter B family member 9 OS=Arabidopsis thaliana OX=3702 GN=ABCB9 PE=3 SV=2_583_672,0.4,0.53,0.05497327103590521,0.06882439744220364
tr|Q9M2U8|Q9M2U8_ARATH At3g54390 OS=Arabidopsis thaliana OX=3702 GN=T12E18_80 PE=1 SV=1_1_31,0.455,0.569,0.009176242791598265,0.01733398917855386
tr|Q9M2U8|Q9M2U8_ARATH At3g54390 OS=Arabidopsis thaliana OX=3702 GN=T12E18_80 PE=1 SV=1_70_203,0.433,0.548,0.10140169213284504,0.11897688145597639
sp|Q9M9S4|Y1143_ARATH Probable LRR receptor-like serine/threonine-protein kinase At1g14390 OS=Arabidopsis thaliana OX=3702 GN=At1g14390 PE=1 SV=1_326_422,0.437,0.566,0.07096855663593889,0.08912936546974916
sp|Q9SA25|WAKLG_ARATH Wall-associated receptor kinase-like 8 OS=Arabidopsis thaliana OX=3702 GN=WAKL8 PE=2 SV=1_332_380,0.427,0.543,0.02538199267584291,0.03498278406296115
sp|Q9SA25|WAKLG_ARATH Wall-associated receptor kinase-like 8 OS=Arabidopsis thaliana OX=3702 GN=WAKL8 PE=2 SV=1_665_720,0.434,0.553,0.03464242118112556,0.046079685194294145
sp|Q9SFX3|OST1A_ARATH Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1A OS=Arabidopsis thaliana OX=3702 GN=OST1A PE=2 SV=1_530_614,0.426,0.555,0.06023487814117945,0.07480570585341861
sp|Q9SJ81|FLA7_ARATH Fasciclin-like arabinogalactan protein 7 OS=Arabidopsis thaliana OX=3702 GN=FLA7 PE=2 SV=1_1_43,0.486,0.581,0.028496864082165247,0.04419085095917365
sp|Q9SJ81|FLA7_ARATH Fasciclin-like arabinogalactan protein 7 OS=Arabidopsis thaliana OX=3702 GN=FLA7 PE=2 SV=1_196_254,0.443,0.578,0.042008671128509485,0.056389572060993605
tr|Q9XF50|Q9XF50_ARATH At4g02075 OS=Arabidopsis thaliana OX=3702 GN=PIT1 PE=2 SV=1_185_218,0.469,0.54,0.011954371343183053,0.02113133300541072
sp|Q9XGZ0|MAOP3_ARATH NADP-dependent malic enzyme 3 OS=Arabidopsis thaliana OX=3702 GN=NADP-ME3 PE=1 SV=1_1_31,0.45,0.572,0.0036620785452708645,0.014441711756025578
tr|Q9XIF5|Q9XIF5_ARATH DNAJ heat shock family protein OS=Arabidopsis thaliana OX=3702 GN=At1g59725 PE=1 SV=1_76_149,0.374,0.487,0.03426358546954581,0.04336448598130842
sp|Q9XIR4|APO1_ARATH APO protein 1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=APO1 PE=2 SV=1_1_87,0.395,0.545,0.0604453424253904,0.07787506148548942
sp|Q9XIR4|APO1_ARATH APO protein 1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=APO1 PE=2 SV=1_255_287,0.46,0.598,0.01203855705686744,0.020914904082636496
tr|A0A1P8AYI7|A0A1P8AYI7_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g14395 PE=4 SV=1_1_239,0.4,0.529,0.14618849181293933,0.17324151500245943
tr|A8MQK2|A8MQK2_ARATH ECA1 gametogenesis related family protein OS=Arabidopsis thaliana OX=3702 GN=At5g36370 PE=4 SV=1_1_33,0.463,0.558,0.012459485625289386,0.023079193310378752
tr|A8MRK9|A8MRK9_ARATH RNApolymerase 14 kDa subunit OS=Arabidopsis thaliana OX=3702 GN=RPC14 PE=1 SV=1_1_47,0.399,0.52,0.020457128425306215,0.030300049188391544
sp|B9DFZ0|NTH2_ARATH Endonuclease III homolog 2; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=NTH2 PE=2 SV=1_1_168,0.419,0.567,0.11836511344024918,0.13936055090998525
sp|F4I3V3|LRL15_ARATH LEAF RUST 10 DISEASE-RESISTANCE LOCUS RECEPTOR-LIKE PROTEIN KINASE-like 1.5 OS=Arabidopsis thaliana OX=3702 GN=LRK10L-1.5 PE=3 SV=1_1_52,0.42,0.507,0.028833606936902807,0.04257747171667487
tr|F4J1U2|F4J1U2_ARATH Glutamate NMDA receptor subunit epsilon-1; putative (DUF3598) OS=Arabidopsis thaliana OX=3702 GN=BFA1 PE=1 SV=1_1_133,0.379,0.487,0.08271246369491098,0.10152484013772752
sp|F4J2K2|FPGS2_ARATH Folylpolyglutamate synthase OS=Arabidopsis thaliana OX=3702 GN=FPGS2 PE=1 SV=1_1_78,0.398,0.534,0.04924864250536683,0.06300049188391539
tr|F4JLQ2|F4JLQ2_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=DL4130C PE=1 SV=1_1_48,0.412,0.491,0.022056656985309595,0.030949335956714216
tr|F4JLQ2|F4JLQ2_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=DL4130C PE=1 SV=1_479_522,0.443,0.528,0.01948899271793577,0.027348745696015746
tr|F4K0T3|F4K0T3_ARATH RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=MJJ3.13 PE=4 SV=1_80_132,0.442,0.577,0.03262196405270025,0.043876045253320214
tr|F4K0T3|F4K0T3_ARATH RNA-binding (RRM/RBD/RNP motifs) family protein OS=Arabidopsis thaliana OX=3702 GN=MJJ3.13 PE=4 SV=1_228_264,0.444,0.565,0.01376436418739739,0.02353172651254305
sp|F4KBF5|KITHB_ARATH Thymidine kinase b OS=Arabidopsis thaliana OX=3702 GN=TK1B PE=1 SV=1_1_78,0.448,0.556,0.05749884244643683,0.07000491883915395
sp|O23305|Y4449_ARATH FHA domain-containing protein At4g14490 OS=Arabidopsis thaliana OX=3702 GN=At4g14490 PE=1 SV=1_140_325,0.43,0.563,0.1236688134023656,0.14095425479586818
tr|O49733|O49733_ARATH Translation initiation factor eIF2B subunit epsilon OS=Arabidopsis thaliana OX=3702 GN=At4g18300 PE=1 SV=1_430_549,0.445,0.582,0.09491939217914719,0.11771765863256271
tr|O81067|O81067_ARATH Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g28970 PE=4 SV=1_1_51,0.439,0.551,0.030643599781117144,0.04181013280865716
tr|O81067|O81067_ARATH Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g28970 PE=4 SV=1_429_463,0.467,0.55,0.014942964178978823,0.02284308903098869
tr|O81067|O81067_ARATH Leucine-rich repeat protein kinase family protein OS=Arabidopsis thaliana OX=3702 GN=At2g28970 PE=4 SV=1_754_786,0.445,0.567,0.008965778507387293,0.01749139203148058
sp|P40228|CSK2B_ARATH Casein kinase II subunit beta-1 OS=Arabidopsis thaliana OX=3702 GN=CKB1 PE=1 SV=1_1_102,0.401,0.528,0.06646462095382415,0.07834727004426957
sp|P47735|RLK5_ARATH Receptor-like protein kinase 5 OS=Arabidopsis thaliana OX=3702 GN=RLK5 PE=1 SV=1_968_999,0.445,0.589,0.008881592793702906,0.018868666994589278
sp|P54968|ILR1_ARATH IAA-amino acid hydrolase ILR1 OS=Arabidopsis thaliana OX=3702 GN=ILR1 PE=1 SV=2_1_38,0.451,0.542,0.01283832133686913,0.018730939498278407
sp|Q0WUC5|ALB33_ARATH ALBINO3-like protein 3; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ALB3L3 PE=1 SV=1_1_115,0.386,0.515,0.0674748495180368,0.07931136251844566
tr|Q29PT3|Q29PT3_ARATH At3g49760 OS=Arabidopsis thaliana OX=3702 GN=BZIP5 PE=2 SV=1_1_88,0.406,0.54,0.05888790672222924,0.07024102311854404
sp|Q2V4J8|DF316_ARATH Defensin-like protein 316 OS=Arabidopsis thaliana OX=3702 GN=At1g31772 PE=5 SV=1_1_100,0.397,0.517,0.06137138527591868,0.07366453516969998
sp|Q39112|GAOX3_ARATH Gibberellin 20 oxidase 3 OS=Arabidopsis thaliana OX=3702 GN=GA20OX3 PE=1 SV=1_1_42,0.422,0.532,0.018857599865302853,0.029099852434825386
sp|Q3EAE7|STKLL_ARATH Probable transcription factor At4g00232 OS=Arabidopsis thaliana OX=3702 GN=At4g00232 PE=3 SV=1_1_43,0.465,0.601,0.022603864124258112,0.03372356123954748
sp|Q680Q4|SIZ1_ARATH E3 SUMO-protein ligase SIZ1 OS=Arabidopsis thaliana OX=3702 GN=SIZ1 PE=1 SV=2_77_108,0.451,0.599,0.010102285642126533,0.019203148057058538
sp|Q680Q4|SIZ1_ARATH E3 SUMO-protein ligase SIZ1 OS=Arabidopsis thaliana OX=3702 GN=SIZ1 PE=1 SV=2_461_884,0.409,0.539,0.21791471987203773,0.23797343826856862
sp|Q6GKX7|GASAC_ARATH Gibberellin-regulated protein 12 OS=Arabidopsis thaliana OX=3702 GN=GASA12 PE=3 SV=1_1_44,0.438,0.569,0.019573178431620156,0.03112641416625677
sp|Q6NNI8|SAP1_ARATH Zinc finger A20 and AN1 domain-containing stress-associated protein 1 OS=Arabidopsis thaliana OX=3702 GN=SAP1 PE=1 SV=1_1_104,0.457,0.565,0.07623016374121312,0.09292670929660601
sp|Q7X9V2|PIE1_ARATH Protein PHOTOPERIOD-INDEPENDENT EARLY FLOWERING 1 OS=Arabidopsis thaliana OX=3702 GN=PIE1 PE=1 SV=1_1_49,0.454,0.581,0.03291661405059561,0.043915395966551904
sp|Q7X9V2|PIE1_ARATH Protein PHOTOPERIOD-INDEPENDENT EARLY FLOWERING 1 OS=Arabidopsis thaliana OX=3702 GN=PIE1 PE=1 SV=1_158_523,0.408,0.576,0.23256303405312118,0.26736842105263153
sp|Q7X9V2|PIE1_ARATH Protein PHOTOPERIOD-INDEPENDENT EARLY FLOWERING 1 OS=Arabidopsis thaliana OX=3702 GN=PIE1 PE=1 SV=1_1240_1380,0.448,0.59,0.11264048490971082,0.13149040826364977
sp|Q7X9V2|PIE1_ARATH Protein PHOTOPERIOD-INDEPENDENT EARLY FLOWERING 1 OS=Arabidopsis thaliana OX=3702 GN=PIE1 PE=1 SV=1_1433_1650,0.382,0.514,0.13175064191606684,0.15283817019183474
sp|Q7X9V2|PIE1_ARATH Protein PHOTOPERIOD-INDEPENDENT EARLY FLOWERING 1 OS=Arabidopsis thaliana OX=3702 GN=PIE1 PE=1 SV=1_1788_2055,0.403,0.524,0.15035568464031654,0.164761436301033
sp|Q84WP6|NAC43_ARATH NAC domain-containing protein 43 OS=Arabidopsis thaliana OX=3702 GN=NAC043 PE=2 SV=2_184_365,0.41,0.542,0.11651302773919266,0.13227742252828334
tr|Q8GYA5|Q8GYA5_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At3g15518 PE=2 SV=1_1_106,0.429,0.562,0.07959759228858862,0.09459911460895229
sp|Q8S8N0|CLE4_ARATH CLAVATA3/ESR (CLE)-related protein 4 OS=Arabidopsis thaliana OX=3702 GN=CLE4 PE=2 SV=1_1_80,0.44,0.56,0.056741171023277345,0.07041810132808658
tr|Q8VYS4|Q8VYS4_ARATH Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At1g27470 PE=1 SV=1_128_160,0.486,0.61,0.009176242791598265,0.019773733398917855
tr|Q8VYS4|Q8VYS4_ARATH Transducin family protein / WD-40 repeat family protein OS=Arabidopsis thaliana OX=3702 GN=At1g27470 PE=1 SV=1_713_761,0.422,0.547,0.02483478553689439,0.032247909493359574
tr|Q8VYW7|Q8VYW7_ARATH AT5g16210/T21H19_130 OS=Arabidopsis thaliana OX=3702 GN=At5g16210 PE=1 SV=1_103_150,0.428,0.551,0.024708506966367803,0.03582882439744221
tr|Q8VYW7|Q8VYW7_ARATH AT5g16210/T21H19_130 OS=Arabidopsis thaliana OX=3702 GN=At5g16210 PE=1 SV=1_301_449,0.427,0.568,0.10632655638338173,0.12566650270536153
tr|Q8VYW7|Q8VYW7_ARATH AT5g16210/T21H19_130 OS=Arabidopsis thaliana OX=3702 GN=At5g16210 PE=1 SV=1_1108_1180,0.438,0.555,0.049206549648524646,0.06044269552385637
sp|Q93YN8|RMR41_ARATH Remorin 4.1 OS=Arabidopsis thaliana OX=3702 GN=REM4.1 PE=1 SV=1_1_177,0.402,0.542,0.11226164919813106,0.13111657648794883
sp|Q9C6S5|PHSB_ARATH Probable polyamine transporter At1g31830 OS=Arabidopsis thaliana OX=3702 GN=At1g31830 PE=2 SV=1_1_46,0.449,0.565,0.02626594266952898,0.0385243482538121
tr|Q9C7Y9|Q9C7Y9_ARATH At1g47970 OS=Arabidopsis thaliana OX=3702 GN=At1g47970 PE=1 SV=1_1_198,0.498,0.64,0.19202761291408849,0.2205410723069356
tr|Q9FHM3|Q9FHM3_ARATH 50S ribosomal protein L11-like OS=Arabidopsis thaliana OX=3702 GN=At5g51610 PE=3 SV=1_1_75,0.444,0.577,0.05552047817485373,0.06957206099360551
tr|Q9FIP7|Q9FIP7_ARATH At5g46780 OS=Arabidopsis thaliana OX=3702 GN=MZA15.20 PE=1 SV=1_1_237,0.397,0.507,0.13650713473923476,0.14624692572552878
sp|Q9FL80|EXP22_ARATH Expansin-A22 OS=Arabidopsis thaliana OX=3702 GN=EXPA22 PE=2 SV=3_1_48,0.441,0.568,0.027402449804268217,0.03716674864731924
tr|Q9FNN0|Q9FNN0_ARATH Calcium-binding EF hand family protein OS=Arabidopsis thaliana OX=3702 GN=MAH20.14 PE=1 SV=1_1_121,0.374,0.471,0.07185250662962496,0.08277422528283326
tr|Q9FWT4|Q9FWT4_ARATH ATP-dependent protease La (LON) domain protein OS=Arabidopsis thaliana OX=3702 GN=At1g75460 PE=1 SV=1_1_70,0.424,0.561,0.05025887106957949,0.0637678307919331
sp|Q9LMH0|KTI12_ARATH Protein KTI12 homolog OS=Arabidopsis thaliana OX=3702 GN=KTI12 PE=1 SV=1_270_302,0.428,0.544,0.008250199941069996,0.016389572060993608
sp|Q9LPG3|MSL4_ARATH Mechanosensitive ion channel protein 4 OS=Arabidopsis thaliana OX=3702 GN=MSL4 PE=3 SV=1_1_250,0.408,0.546,0.15376520604453423,0.17162813575996066
sp|Q9LPG3|MSL4_ARATH Mechanosensitive ion channel protein 4 OS=Arabidopsis thaliana OX=3702 GN=MSL4 PE=3 SV=1_443_509,0.459,0.575,0.04933282821905123,0.06510575504181014
sp|Q9LSP8|CMTA6_ARATH Calmodulin-binding transcription activator 6 OS=Arabidopsis thaliana OX=3702 GN=CAMTA6 PE=1 SV=1_128_286,0.412,0.549,0.10666329923811928,0.12720118052139695
tr|Q9LU78|Q9LU78_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=MUL3.2 PE=2 SV=1_1_62,0.45,0.582,0.045839121101149134,0.06128873585833744
sp|Q9LZ56|DOF51_ARATH Dof zinc finger protein DOF5.1 OS=Arabidopsis thaliana OX=3702 GN=DOF5.1 PE=2 SV=1_1_84,0.414,0.507,0.05316327819169087,0.06193802262666011
sp|Q9LZ56|DOF51_ARATH Dof zinc finger protein DOF5.1 OS=Arabidopsis thaliana OX=3702 GN=DOF5.1 PE=2 SV=1_138_399,0.385,0.503,0.13566527760239086,0.14974913920314806
tr|Q9M277|Q9M277_ARATH AT3g61870/F21F14_40 OS=Arabidopsis thaliana OX=3702 GN=F21F14.40 PE=1 SV=1_1_47,0.481,0.577,0.03464242118112556,0.04808657156910969
sp|Q9M2F9|RH52_ARATH DEAD-box ATP-dependent RNA helicase 52 OS=Arabidopsis thaliana OX=3702 GN=RH52 PE=1 SV=1_1_128,0.35,0.467,0.0632655638338174,0.07763895720609938
sp|Q9M2F9|RH52_ARATH DEAD-box ATP-dependent RNA helicase 52 OS=Arabidopsis thaliana OX=3702 GN=RH52 PE=1 SV=1_542_646,0.359,0.455,0.046554699667466434,0.05151008362026562
sp|Q9M2V7|AB16G_ARATH ABC transporter G family member 16 OS=Arabidopsis thaliana OX=3702 GN=ABCG16 PE=1 SV=2_369_419,0.435,0.582,0.030811971208485913,0.04562715199212986
sp|Q9M667|RPP13_ARATH Disease resistance protein RPP13 OS=Arabidopsis thaliana OX=3702 GN=RPP13 PE=2 SV=2_127_157,0.446,0.544,0.005387885675800814,0.014146581406788001
tr|Q9SJR4|Q9SJR4_ARATH Expressed protein OS=Arabidopsis thaliana OX=3702 GN=At2g36410 PE=1 SV=2_1_60,0.475,0.553,0.0405775139958749,0.052966060009837675
sp|Q9SL05|PGR5_ARATH Protein PROTON GRADIENT REGULATION 5; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=PGR5 PE=1 SV=1_1_76,0.44,0.541,0.05240560676853137,0.06284308903098869
sp|Q9SL41|NAC37_ARATH NAC domain-containing protein 37 OS=Arabidopsis thaliana OX=3702 GN=NAC037 PE=1 SV=1_156_365,0.394,0.5,0.11600791345708632,0.12611903590752585
tr|Q9SS53|Q9SS53_ARATH DNA mismatch repair protein MutS; type 2 OS=Arabidopsis thaliana OX=3702 GN=At1g65070 PE=1 SV=1_1_91,0.405,0.557,0.06427579239803005,0.08049188391539598
tr|Q9SS53|Q9SS53_ARATH DNA mismatch repair protein MutS; type 2 OS=Arabidopsis thaliana OX=3702 GN=At1g65070 PE=1 SV=1_702_810,0.417,0.527,0.07505156374963168,0.09052631578947369
tr|Q9SZV2|Q9SZV2_ARATH Leucine-rich repeat transmembrane protein kinase protein OS=Arabidopsis thaliana OX=3702 GN=At4g29990 PE=4 SV=1_501_557,0.446,0.563,0.03666287830955087,0.05090014756517462
sp|Q9ZVE7|CRR3_ARATH Probable NAD(P)H dehydrogenase subunit CRR3; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CRR3 PE=2 SV=1_1_92,0.447,0.564,0.06941112093277772,0.08297097884899164
tr|A0A1P8B5J9|A0A1P8B5J9_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At4g27845 PE=4 SV=1_1_37,0.447,0.575,0.015195521320031982,0.0250860796851943
tr|A0A1P8B5J9|A0A1P8B5J9_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At4g27845 PE=4 SV=1_79_188,0.413,0.536,0.07610388517068653,0.09015248401377277
tr|A0A1P8BGF0|A0A1P8BGF0_ARATH Ribosomal RNA-processing 7 protein OS=Arabidopsis thaliana OX=3702 GN=RRP7 PE=1 SV=1_1_189,0.429,0.57,0.13313970619185922,0.14776192818494838
tr|A0A1P8BGF0|A0A1P8BGF0_ARATH Ribosomal RNA-processing 7 protein OS=Arabidopsis thaliana OX=3702 GN=RRP7 PE=1 SV=1_239_283,0.454,0.575,0.020499221282148417,0.03189375307427448
tr|B3H5V2|B3H5V2_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At2g14692 PE=4 SV=1_1_43,0.439,0.543,0.01868922843793408,0.029473684210526315
tr|B3H7I7|B3H7I7_ARATH Transmembrane protein OS=Arabidopsis thaliana OX=3702 GN=At2g29263 PE=4 SV=1_1_61,0.413,0.53,0.03388474975796607,0.04527299557304477
tr|F4I0U4|F4I0U4_ARATH Uncharacterized protein OS=Arabidopsis thaliana OX=3702 GN=At1g03240 PE=4 SV=1_1_42,0.439,0.568,0.018099928442143365,0.02817511067388097
sp|F4IHL3|MTEF2_ARATH Transcription termination factor MTERF2; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MTERF2 PE=3 SV=1_1_134,0.418,0.512,0.0858694279580755,0.09396950319724547
sp|F4IHL3|MTEF2_ARATH Transcription termination factor MTERF2; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=MTERF2 PE=3 SV=1_606_641,0.498,0.609,0.017510628446352646,0.03565174618789966
tr|F4JQJ7|F4JQJ7_ARATH PLC-like phosphodiesterases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g36945 PE=1 SV=1_358_408,0.442,0.564,0.03342172833270194,0.044938514510575504
sp|F4KAF2|MORC4_ARATH Protein MICRORCHIDIA 4 OS=Arabidopsis thaliana OX=3702 GN=MORC4 PE=1 SV=2_1_88,0.437,0.561,0.06431788525487225,0.07942941465814068
sp|F4KAF2|MORC4_ARATH Protein MICRORCHIDIA 4 OS=Arabidopsis thaliana OX=3702 GN=MORC4 PE=1 SV=2_550_707,0.416,0.547,0.10935724207601968,0.1269257255287752
sp|F4KH89|SRS8_ARATH Protein SHI RELATED SEQUENCE 8 OS=Arabidopsis thaliana OX=3702 GN=SRS8 PE=3 SV=1_1_52,0.438,0.565,0.030980342635854686,0.04184948352188883
sp|F4KH89|SRS8_ARATH Protein SHI RELATED SEQUENCE 8 OS=Arabidopsis thaliana OX=3702 GN=SRS8 PE=3 SV=1_92_135,0.458,0.554,0.024708506966367803,0.03659616330545992
sp|O49429|MORF1_ARATH Multiple organellar RNA editing factor 1; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MORF1 PE=1 SV=1_1_54,0.44,0.567,0.03337963547585974,0.04491883915395967
sp|O49429|MORF1_ARATH Multiple organellar RNA editing factor 1; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=MORF1 PE=1 SV=1_180_419,0.304,0.421,0.09681357073704593,0.10463354648303001
sp|O49680|PP324_ARATH Pentatricopeptide repeat-containing protein At4g19220; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=PCMP-E2 PE=3 SV=2_1_79,0.383,0.511,0.0446605211095677,0.058376783079193306
tr|O82347|O82347_ARATH At2g46220/T3F17.13 OS=Arabidopsis thaliana OX=3702 GN=At2g46220 PE=1 SV=2_1_83,0.409,0.523,0.05164793534537188,0.06380718150516479
sp|O82782|HIS3_ARATH 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase HISN3; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=HISN3 PE=1 SV=1_1_50,0.459,0.536,0.026813149808477498,0.03838662075750123
sp|P46667|ATHB5_ARATH Homeobox-leucine zipper protein ATHB-5 OS=Arabidopsis thaliana OX=3702 GN=ATHB-5 PE=1 SV=1_1_70,0.401,0.535,0.04150355684640316,0.053398917855386134
sp|P46667|ATHB5_ARATH Homeobox-leucine zipper protein ATHB-5 OS=Arabidopsis thaliana OX=3702 GN=ATHB-5 PE=1 SV=1_175_312,0.428,0.563,0.09740287073283664,0.10992621741269061
sp|Q058P6|CLT1_ARATH Protein CLT1; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=CLT1 PE=2 SV=1_1_98,0.418,0.545,0.06494927810750514,0.07962616822429906
